"Date","Price","Open","High","Low","Change %"
"Apr 30, 2021","93.3630","93.3510","93.6250","93.3510","-0.10%"
"Apr 29, 2021","93.4600","93.4400","93.5450","93.2615","0.03%"
"Apr 28, 2021","93.4300","93.1935","93.4350","93.1830","0.11%"
"Apr 27, 2021","93.3300","93.1935","93.3400","93.1830","0.06%"
"Apr 26, 2021","93.2700","93.0415","93.2850","93.0320","0.16%"
"Apr 23, 2021","93.1200","92.9915","93.1350","92.9565","0.05%"
"Apr 22, 2021","93.0700","92.9580","93.0855","92.9340","0.24%"
"Apr 21, 2021","92.8440","92.8530","93.0445","92.8530","-0.14%"
"Apr 20, 2021","92.9700","92.8435","92.9850","92.8320","0.05%"
"Apr 19, 2021","92.9200","92.7140","92.9900","92.7115","0.14%"
"Apr 16, 2021","92.7900","92.5930","92.8000","92.5930","0.08%"
"Apr 15, 2021","92.7200","92.5930","92.7350","92.5930","0.06%"
"Apr 14, 2021","92.6600","92.6850","92.6850","92.6700","0.04%"
"Apr 13, 2021","92.6200","92.4930","92.6400","92.4830","0.05%"
"Apr 12, 2021","92.5700","92.3545","92.6000","92.3035","0.35%"
"Apr 09, 2021","92.2470","92.3095","92.4500","92.3095","0.06%"
"Apr 08, 2021","92.1950","92.2570","92.4100","92.2570","0.05%"
"Apr 07, 2021","92.1450","92.3550","92.3550","92.2425","-0.15%"
"Apr 06, 2021","92.2800","92.2750","92.3000","92.1925","0.25%"
"Apr 05, 2021","92.0460","91.6045","92.3700","91.6045","0.61%"
"Apr 02, 2021","91.4880","91.6305","91.7330","91.4250","-0.19%"
"Apr 01, 2021","91.6600","91.8910","91.9225","91.5805","-0.35%"
"Mar 31, 2021","91.9800","91.9500","92.0150","91.8635","0.03%"
"Mar 30, 2021","91.9500","91.9200","91.9800","91.8280","0.04%"
"Mar 29, 2021","91.9100","91.7190","92.0850","91.7190","0.08%"
"Mar 26, 2021","91.8400","91.7100","91.8600","91.6830","0.28%"
"Mar 25, 2021","91.5860","91.4500","91.8000","91.4450","0.16%"
"Mar 24, 2021","91.4400","91.5715","91.5805","91.4400","-0.01%"
"Mar 23, 2021","91.4480","91.5700","91.6625","91.4745","-0.12%"
"Mar 22, 2021","91.5600","91.2905","91.5800","91.2635","0.43%"
"Mar 19, 2021","91.1670","91.2105","91.3730","91.2095","-0.12%"
"Mar 18, 2021","91.2800","91.1260","91.2950","91.0715","0.09%"
"Mar 17, 2021","91.2000","91.1400","91.2100","91.1350","0.08%"
"Mar 16, 2021","91.1300","91.0700","91.1500","91.0650","0.08%"
"Mar 15, 2021","91.0600","90.7775","91.1000","90.7775","0.31%"
"Mar 12, 2021","90.7800","90.7900","90.8800","90.6955","0.00%"
"Mar 11, 2021","90.7800","90.7600","90.8000","90.6965","0.08%"
"Mar 10, 2021","90.7100","90.6950","90.7390","90.6245","0.28%"
"Mar 09, 2021","90.4550","90.4945","90.6695","90.4450","-0.04%"
"Mar 08, 2021","90.4900","90.2835","90.6300","90.1500","0.34%"
"Mar 05, 2021","90.1790","90.3750","90.3750","90.0150","-0.12%"
"Mar 04, 2021","90.2900","90.2750","90.3000","90.2250","0.08%"
"Mar 03, 2021","90.2200","90.1600","90.2500","90.0150","0.08%"
"Mar 02, 2021","90.1500","90.0040","90.1750","89.8250","0.08%"
"Mar 01, 2021","90.0800","89.7425","90.1150","89.7335","0.29%"
"Feb 26, 2021","89.8200","89.8200","89.8340","89.6535","0.08%"
"Feb 25, 2021","89.7500","89.7550","89.7550","89.7500","0.10%"
"Feb 24, 2021","89.6600","89.4600","89.6700","89.2350","0.23%"
"Feb 23, 2021","89.4500","89.3085","89.5630","89.3005","0.02%"
"Feb 22, 2021","89.4300","89.0705","89.4530","89.0215","0.42%"
"Feb 19, 2021","89.0600","89.1400","89.1640","89.0215","0.01%"
"Feb 18, 2021","89.0500","88.9500","89.0550","88.8085","0.12%"
"Feb 17, 2021","88.9400","88.4530","88.9500","88.4530","0.55%"
"Feb 16, 2021","88.4500","88.4620","88.5210","88.4050","0.11%"
"Feb 15, 2021","88.3500","88.4530","88.4530","88.4530","-0.11%"
"Feb 12, 2021","88.4500","88.5300","88.5500","88.3985","0.01%"
"Feb 11, 2021","88.4400","88.3700","88.4600","88.1855","0.09%"
"Feb 10, 2021","88.3600","88.2700","88.3700","88.2700","0.11%"
"Feb 09, 2021","88.2600","88.1650","88.2800","88.0775","0.11%"
"Feb 08, 2021","88.1600","87.9260","88.1740","87.8790","0.38%"
"Feb 05, 2021","87.8240","87.9200","88.0140","87.7185","-0.10%"
"Feb 04, 2021","87.9100","87.7260","87.9200","87.6610","0.13%"
"Feb 03, 2021","87.8000","87.6335","87.8290","87.6180","0.11%"
"Feb 02, 2021","87.7000","87.6513","87.7230","87.5655","0.11%"
"Feb 01, 2021","87.6000","87.4505","87.6300","87.2641","0.34%"
