"Date","Price","Open","High","Low","Change %"
"Apr 30, 2021","5.4366","5.3383","5.4489","5.3351","1.86%"
"Apr 29, 2021","5.3375","5.3428","5.3798","5.3274","-0.10%"
"Apr 28, 2021","5.3430","5.4526","5.4561","5.3429","-1.95%"
"Apr 27, 2021","5.4490","5.4366","5.4673","5.4097","0.23%"
"Apr 26, 2021","5.4364","5.4757","5.4904","5.4318","-0.71%"
"Apr 23, 2021","5.4751","5.4446","5.5240","5.4239","0.56%"
"Apr 22, 2021","5.4448","5.5669","5.5669","5.4373","-2.23%"
"Apr 21, 2021","5.5690","5.5692","5.5695","5.5692","0.01%"
"Apr 20, 2021","5.5687","5.5461","5.5883","5.5022","0.41%"
"Apr 19, 2021","5.5461","5.5873","5.6224","5.5262","-0.76%"
"Apr 16, 2021","5.5883","5.6142","5.6781","5.5658","-0.50%"
"Apr 15, 2021","5.6162","5.6540","5.6603","5.5951","-0.64%"
"Apr 14, 2021","5.6526","5.7180","5.7359","5.6452","-1.12%"
"Apr 13, 2021","5.7166","5.7340","5.7562","5.6629","-0.29%"
"Apr 12, 2021","5.7333","5.6822","5.7425","5.6300","0.90%"
"Apr 09, 2021","5.6821","5.5682","5.6852","5.5665","1.98%"
"Apr 08, 2021","5.5720","5.6136","5.6174","5.5381","-0.75%"
"Apr 07, 2021","5.6143","5.5904","5.6550","5.5474","0.43%"
"Apr 06, 2021","5.5904","5.6642","5.6698","5.5742","-1.29%"
"Apr 05, 2021","5.6632","5.7100","5.7101","5.6323","-0.78%"
"Apr 02, 2021","5.7075","5.7080","5.7080","5.7080","0.01%"
"Apr 01, 2021","5.7071","5.6330","5.7276","5.6080","1.34%"
"Mar 31, 2021","5.6315","5.7740","5.7768","5.6214","-2.48%"
"Mar 30, 2021","5.7745","5.7824","5.8034","5.7200","-0.09%"
"Mar 29, 2021","5.7799","5.7550","5.8069","5.7359","0.40%"
"Mar 26, 2021","5.7566","5.6473","5.7589","5.6448","1.93%"
"Mar 25, 2021","5.6475","5.6213","5.6821","5.6174","0.47%"
"Mar 24, 2021","5.6209","5.5216","5.6432","5.4891","1.80%"
"Mar 23, 2021","5.5214","5.5045","5.5509","5.4640","0.31%"
"Mar 22, 2021","5.5045","5.5087","5.5483","5.4936","0.23%"
"Mar 19, 2021","5.4917","5.5609","5.5640","5.4482","-1.24%"
"Mar 18, 2021","5.5604","5.5860","5.5860","5.4763","-0.41%"
"Mar 17, 2021","5.5832","5.6249","5.6827","5.5688","-0.74%"
"Mar 16, 2021","5.6246","5.6252","5.6344","5.5574","0.16%"
"Mar 15, 2021","5.6156","5.5501","5.6568","5.5310","1.15%"
"Mar 12, 2021","5.5518","5.5362","5.5873","5.5324","0.29%"
"Mar 11, 2021","5.5357","5.6078","5.6215","5.5257","-2.40%"
"Mar 10, 2021","5.6720","5.7902","5.8144","5.6443","-2.25%"
"Mar 09, 2021","5.8025","5.8753","5.8787","5.7675","-1.24%"
"Mar 08, 2021","5.8755","5.6898","5.8769","5.6898","3.25%"
"Mar 05, 2021","5.6908","5.6697","5.7232","5.6517","0.38%"
"Mar 04, 2021","5.6693","5.5700","5.6852","5.5438","0.89%"
"Mar 03, 2021","5.6193","5.6872","5.7729","5.5806","-1.00%"
"Mar 02, 2021","5.6761","5.6421","5.7340","5.6386","0.61%"
"Mar 01, 2021","5.6418","5.5870","5.6427","5.5553","0.77%"
"Feb 26, 2021","5.5986","5.5340","5.6093","5.4905","1.23%"
"Feb 25, 2021","5.5308","5.4450","5.5390","5.4173","2.30%"
"Feb 24, 2021","5.4062","5.4409","5.4454","5.3895","-0.64%"
"Feb 23, 2021","5.4409","5.4692","5.4843","5.4075","-0.46%"
"Feb 22, 2021","5.4659","5.5128","5.5342","5.4296","1.55%"
"Feb 19, 2021","5.3823","5.4267","5.4706","5.3670","-0.82%"
"Feb 18, 2021","5.4270","5.3877","5.4535","5.3854","0.30%"
"Feb 17, 2021","5.4105","5.3707","5.4331","5.3707","0.76%"
"Feb 16, 2021","5.3695","5.3685","5.3707","5.3685","-0.01%"
"Feb 12, 2021","5.3698","5.3953","5.4127","5.3542","0.06%"
"Feb 11, 2021","5.3665","5.3882","5.4118","5.3330","-0.36%"
"Feb 10, 2021","5.3860","5.3790","5.4378","5.3485","0.15%"
"Feb 09, 2021","5.3781","5.3660","5.4478","5.3535","0.23%"
"Feb 08, 2021","5.3657","5.4040","5.4208","5.3042","-0.09%"
"Feb 05, 2021","5.3704","5.4270","5.4562","5.3436","-1.04%"
"Feb 04, 2021","5.4266","5.3552","5.4571","5.3544","1.37%"
"Feb 03, 2021","5.3534","5.3663","5.3945","5.3201","-0.27%"
"Feb 02, 2021","5.3680","5.4326","5.4326","5.3425","-1.18%"
"Feb 01, 2021","5.4322","5.4663","5.4863","5.4205","-0.55%"
