"Date","Price","Open","High","Low","Change %"
"Apr 30, 2021","20.2260","20.0520","20.2850","20.0125","0.93%"
"Apr 29, 2021","20.0400","19.9160","20.1705","19.8610","0.70%"
"Apr 28, 2021","19.9010","20.0575","20.0935","19.8531","-0.69%"
"Apr 27, 2021","20.0400","19.8585","20.0783","19.8510","0.96%"
"Apr 26, 2021","19.8500","19.8470","19.9046","19.7958","0.18%"
"Apr 23, 2021","19.8150","19.9310","19.9560","19.8055","-0.50%"
"Apr 22, 2021","19.9140","19.8835","19.9873","19.8584","0.21%"
"Apr 21, 2021","19.8730","19.9725","19.9960","19.8505","-0.44%"
"Apr 20, 2021","19.9600","19.8185","20.0005","19.7800","0.74%"
"Apr 19, 2021","19.8130","19.9140","19.9405","19.7922","-0.51%"
"Apr 16, 2021","19.9150","19.9400","19.9954","19.8890","-0.10%"
"Apr 15, 2021","19.9340","20.0730","20.0999","19.8996","-0.63%"
"Apr 14, 2021","20.0610","20.0849","20.1322","20.0103","-0.12%"
"Apr 13, 2021","20.0843","20.1405","20.2425","20.0417","-0.22%"
"Apr 12, 2021","20.1280","20.1642","20.2234","20.0697","-0.09%"
"Apr 09, 2021","20.1460","20.1025","20.2289","20.0684","0.30%"
"Apr 08, 2021","20.0860","20.1985","20.2307","20.0636","-0.59%"
"Apr 07, 2021","20.2054","20.1595","20.2565","20.1423","0.20%"
"Apr 06, 2021","20.1656","20.3120","20.3871","20.1395","-0.66%"
"Apr 05, 2021","20.3000","20.2890","20.3843","20.2285","0.02%"
"Apr 02, 2021","20.2950","20.2970","20.3515","20.2665","0.10%"
"Apr 01, 2021","20.2750","20.4390","20.4980","20.2686","-0.72%"
"Mar 31, 2021","20.4220","20.5875","20.6365","20.4032","-0.72%"
"Mar 30, 2021","20.5700","20.6087","20.7089","20.5424","-0.18%"
"Mar 29, 2021","20.6081","20.6375","20.7903","20.5604","0.14%"
"Mar 26, 2021","20.5800","20.6840","20.7362","20.5370","-0.46%"
"Mar 25, 2021","20.6750","20.9380","20.9466","20.5825","-1.18%"
"Mar 24, 2021","20.9210","20.8485","20.9743","20.6634","0.43%"
"Mar 23, 2021","20.8310","20.5725","20.8647","20.5307","1.34%"
"Mar 22, 2021","20.5550","20.7825","20.8433","20.5296","0.30%"
"Mar 19, 2021","20.4940","20.4855","20.5519","20.2860","0.11%"
"Mar 18, 2021","20.4710","20.4000","20.5969","20.2803","0.41%"
"Mar 17, 2021","20.3880","20.6220","20.8148","20.3111","-1.13%"
"Mar 16, 2021","20.6213","20.6485","20.7337","20.5222","-0.05%"
"Mar 15, 2021","20.6310","20.7205","20.8293","20.6266","-0.45%"
"Mar 12, 2021","20.7250","20.6080","20.9344","20.5896","0.62%"
"Mar 11, 2021","20.5980","20.8855","20.9268","20.5798","-1.31%"
"Mar 10, 2021","20.8720","21.1970","21.2835","20.8669","-1.49%"
"Mar 09, 2021","21.1880","21.5180","21.5723","21.1280","-1.49%"
"Mar 08, 2021","21.5090","21.2540","21.6381","21.2135","0.98%"
"Mar 05, 2021","21.3010","21.1265","21.4227","21.0875","0.87%"
"Mar 04, 2021","21.1180","20.9465","21.1728","20.7560","0.87%"
"Mar 03, 2021","20.9350","20.6115","20.9998","20.5493","1.65%"
"Mar 02, 2021","20.5960","20.6570","20.7944","20.5544","-0.21%"
"Mar 01, 2021","20.6400","20.8620","20.8753","20.5751","-1.00%"
"Feb 26, 2021","20.8480","20.8525","21.0510","20.7777","0.06%"
"Feb 25, 2021","20.8360","20.3765","21.0395","20.3695","2.34%"
"Feb 24, 2021","20.3590","20.5140","20.5583","20.3489","-0.69%"
"Feb 23, 2021","20.5000","20.7315","20.7668","20.4965","-1.03%"
"Feb 22, 2021","20.7140","20.4782","20.8347","20.4525","1.41%"
"Feb 19, 2021","20.4250","20.3100","20.5297","20.2516","0.67%"
"Feb 18, 2021","20.2890","20.2295","20.4851","20.1347","0.41%"
"Feb 17, 2021","20.2070","20.1475","20.3944","20.1360","0.37%"
"Feb 16, 2021","20.1330","19.9650","20.2528","19.9216","0.92%"
"Feb 15, 2021","19.9500","19.9440","19.9849","19.8850","0.10%"
"Feb 12, 2021","19.9300","19.9635","20.0975","19.8962","-0.07%"
"Feb 11, 2021","19.9430","20.0445","20.0650","19.8953","-0.39%"
"Feb 10, 2021","20.0210","20.0980","20.1577","19.9921","-0.27%"
"Feb 09, 2021","20.0750","20.1100","20.1605","20.0019","-0.13%"
"Feb 08, 2021","20.1010","20.1133","20.2531","20.0678","0.12%"
"Feb 05, 2021","20.0770","20.3950","20.4300","20.0718","-1.44%"
"Feb 04, 2021","20.3710","20.2075","20.5072","20.1702","0.92%"
"Feb 03, 2021","20.1850","20.1310","20.2554","20.0625","0.35%"
"Feb 02, 2021","20.1150","20.3810","20.3913","20.1106","-1.23%"
"Feb 01, 2021","20.3650","20.4750","20.5187","20.2633","-1.07%"
